"No.","Time","Source","Destination","Protocol","Length","CNameString","Info"
"13","5.003653","10.10.5.100","10.10.5.1","KRB5","267","datnt09","AS-REQ"
"21","5.014016","10.10.5.100","10.10.5.1","KRB5","347","datnt09","AS-REQ"
"22","5.014907","10.10.5.1","10.10.5.100","KRB5","1665","datnt09","AS-REP"
"33","5.019944","10.10.5.1","10.10.5.100","KRB5","1595","datnt09","TGS-REP"
"92","15.436492","10.10.5.100","10.10.5.1","KRB5","280","datnt09","AS-REQ"
"100","15.438179","10.10.5.100","10.10.5.1","KRB5","360","datnt09","AS-REQ"
"101","15.438936","10.10.5.1","10.10.5.100","KRB5","1665","datnt09","AS-REP"
"112","15.441319","10.10.5.1","10.10.5.100","KRB5","1707","datnt09","TGS-REP"
"9756","408.524932","10.10.5.102","10.10.5.1","KRB5","243","hains2","AS-REQ"
"9765","408.529647","10.10.5.102","10.10.5.1","KRB5","244","anhquan","AS-REQ"
"9774","408.534122","10.10.5.102","10.10.5.1","KRB5","243","tuanna2","AS-REQ"
"9783","408.540228","10.10.5.102","10.10.5.1","KRB5","241","halq1","AS-REQ"
"9794","408.566236","10.10.5.102","10.10.5.1","KRB5","244","anhnt427","AS-REQ"
"9803","408.568436","10.10.5.102","10.10.5.1","KRB5","246","cuongnc16","AS-REQ"
"9812","408.572024","10.10.5.102","10.10.5.1","KRB5","315","cuongnc16","AS-REQ"
"9821","408.574375","10.10.5.102","10.10.5.1","KRB5","243","congdh1","AS-REQ"
"9830","408.575781","10.10.5.102","10.10.5.1","KRB5","244","sonnd35","AS-REQ"
"9839","408.577146","10.10.5.102","10.10.5.1","KRB5","246","thanhnv62","AS-REQ"
"9848","408.578424","10.10.5.102","10.10.5.1","KRB5","245","quangtm4","AS-REQ"
"9857","408.579671","10.10.5.102","10.10.5.1","KRB5","244","unglv47","AS-REQ"
"9866","408.583323","10.10.5.102","10.10.5.1","KRB5","243","namth8","AS-REQ"
"9875","408.591111","10.10.5.102","10.10.5.1","KRB5","244","gianghh2","AS-REQ"
"9884","408.594735","10.10.5.102","10.10.5.1","KRB5","244","khoand10","AS-REQ"
"9893","408.600653","10.10.5.102","10.10.5.1","KRB5","243","tanpv5","AS-REQ"
"9902","408.605994","10.10.5.102","10.10.5.1","KRB5","242","tiepnd","AS-REQ"
"9911","408.609725","10.10.5.102","10.10.5.1","KRB5","245","luongtv1","AS-REQ"
"9920","408.613036","10.10.5.102","10.10.5.1","KRB5","243","hainh45","AS-REQ"
"9929","408.619246","10.10.5.102","10.10.5.1","KRB5","313","hainh45","AS-REQ"
"9938","408.628358","10.10.5.102","10.10.5.1","KRB5","245","hangdtt2","AS-REQ"
"9947","408.635960","10.10.5.102","10.10.5.1","KRB5","244","hiennt8","AS-REQ"
"9956","408.639994","10.10.5.102","10.10.5.1","KRB5","245","thanhln9","AS-REQ"
"9965","408.645619","10.10.5.102","10.10.5.1","KRB5","243","haminh","AS-REQ"
"9974","408.649378","10.10.5.102","10.10.5.1","KRB5","246","huongtt13","AS-REQ"
"9983","408.652663","10.10.5.102","10.10.5.1","KRB5","244","anhnn19","AS-REQ"
"9992","408.656585","10.10.5.102","10.10.5.1","KRB5","245","phuonglm8","AS-REQ"
"10001","408.661350","10.10.5.102","10.10.5.1","KRB5","246","thanhntp3","AS-REQ"
"10010","408.665859","10.10.5.102","10.10.5.1","KRB5","244","bichnt24","AS-REQ"
"10019","408.670394","10.10.5.102","10.10.5.1","KRB5","243","lieunt5","AS-REQ"
"10028","408.673732","10.10.5.102","10.10.5.1","KRB5","244","hoantt35","AS-REQ"
"10037","408.676962","10.10.5.102","10.10.5.1","KRB5","246","giangvth10","AS-REQ"
"10046","408.686780","10.10.5.102","10.10.5.1","KRB5","246","linhnm171","AS-REQ"
"10055","408.695155","10.10.5.102","10.10.5.1","KRB5","245","thuyptt20","AS-REQ"
"10064","408.699841","10.10.5.102","10.10.5.1","KRB5","244","toannm12","AS-REQ"
"10073","408.704635","10.10.5.102","10.10.5.1","KRB5","242","hauns","AS-REQ"
"10082","408.708514","10.10.5.102","10.10.5.1","KRB5","242","ichnd1","AS-REQ"
"10091","408.711834","10.10.5.102","10.10.5.1","KRB5","245","trungnh10","AS-REQ"
"10100","408.715441","10.10.5.102","10.10.5.1","KRB5","245","hangntt79","AS-REQ"
"10109","408.719442","10.10.5.102","10.10.5.1","KRB5","244","namnx11","AS-REQ"
"10118","408.725534","10.10.5.102","10.10.5.1","KRB5","246","hoangnh48","AS-REQ"
"10127","408.729828","10.10.5.102","10.10.5.1","KRB5","243","thaobt3","AS-REQ"
"10136","408.733396","10.10.5.102","10.10.5.1","KRB5","246","hoangnv35","AS-REQ"
"10145","408.736507","10.10.5.102","10.10.5.1","KRB5","244","huylq13","AS-REQ"
"10154","408.740172","10.10.5.102","10.10.5.1","KRB5","244","namth48","AS-REQ"
"10163","408.743403","10.10.5.102","10.10.5.1","KRB5","244","hoabt21","AS-REQ"
"10172","408.751688","10.10.5.102","10.10.5.1","KRB5","244","congbt3","AS-REQ"
"10181","408.758945","10.10.5.102","10.10.5.1","KRB5","241","lytk1","AS-REQ"
"10190","408.764633","10.10.5.102","10.10.5.1","KRB5","244","danght2","AS-REQ"
"10199","408.772358","10.10.5.102","10.10.5.1","KRB5","243","lienmt2","AS-REQ"
"10208","408.776379","10.10.5.102","10.10.5.1","KRB5","245","hoangp46","AS-REQ"
"10217","408.780255","10.10.5.102","10.10.5.1","KRB5","243","trunggm","AS-REQ"
"10226","408.797110","10.10.5.102","10.10.5.1","KRB5","245","dungdm11","AS-REQ"
"10235","408.802695","10.10.5.102","10.10.5.1","KRB5","246","khanhnhb2","AS-REQ"
"10244","408.806270","10.10.5.102","10.10.5.1","KRB5","246","thanhnc41","AS-REQ"
"10253","408.809471","10.10.5.102","10.10.5.1","KRB5","243","phibd1","AS-REQ"
"10262","408.814821","10.10.5.102","10.10.5.1","KRB5","244","thuyltm3","AS-REQ"
"10271","408.820940","10.10.5.102","10.10.5.1","KRB5","245","thanhpc2","AS-REQ"
"10280","408.824701","10.10.5.102","10.10.5.1","KRB5","244","hungtn23","AS-REQ"
"10289","408.828352","10.10.5.102","10.10.5.1","KRB5","246","thangnn16","AS-REQ"
"10298","408.833083","10.10.5.102","10.10.5.1","KRB5","244","vanntt34","AS-REQ"
"10307","408.837253","10.10.5.102","10.10.5.1","KRB5","245","cuongnc28","AS-REQ"
"10316","408.840950","10.10.5.102","10.10.5.1","KRB5","245","cuongbtq","AS-REQ"
"10325","408.847560","10.10.5.102","10.10.5.1","KRB5","245","kiennt458","AS-REQ"
"10334","408.852472","10.10.5.102","10.10.5.1","KRB5","248","phuongntm152","AS-REQ"
"10343","408.858421","10.10.5.102","10.10.5.1","KRB5","243","nhandt4","AS-REQ"
"10352","408.862674","10.10.5.102","10.10.5.1","KRB5","245","phuongda1","AS-REQ"
"10361","408.866286","10.10.5.102","10.10.5.1","KRB5","241","vudq4","AS-REQ"
"10370","408.869583","10.10.5.102","10.10.5.1","KRB5","244","hungnp4","AS-REQ"
"10379","408.874432","10.10.5.102","10.10.5.1","KRB5","244","nhantv6","AS-REQ"
"10388","408.879191","10.10.5.102","10.10.5.1","KRB5","244","anhtq33","AS-REQ"
"10397","408.883919","10.10.5.102","10.10.5.1","KRB5","243","hoadtq2","AS-REQ"
"10406","408.889518","10.10.5.102","10.10.5.1","KRB5","248","trangdtt117","AS-REQ"
"10415","408.893224","10.10.5.102","10.10.5.1","KRB5","245","trangntt6","AS-REQ"
"10424","408.898241","10.10.5.102","10.10.5.1","KRB5","245","thanhnm18","AS-REQ"
"10433","408.902390","10.10.5.102","10.10.5.1","KRB5","245","dungnv132","AS-REQ"
"10442","408.905967","10.10.5.102","10.10.5.1","KRB5","244","anhvtm6","AS-REQ"
"10451","408.910464","10.10.5.102","10.10.5.1","KRB5","244","longth21","AS-REQ"
"10460","408.916752","10.10.5.102","10.10.5.1","KRB5","245","huonghd1","AS-REQ"
"10469","408.929977","10.10.5.102","10.10.5.1","KRB5","245","trungvt19","AS-REQ"
"10478","408.934566","10.10.5.102","10.10.5.1","KRB5","243","taila6","AS-REQ"
"10487","408.943180","10.10.5.102","10.10.5.1","KRB5","244","hoantx3","AS-REQ"
"10495","408.951328","10.10.5.102","10.10.5.1","KRB5","243","anhtt3","AS-REQ"
"10504","408.957915","10.10.5.102","10.10.5.1","KRB5","244","linhnv18","AS-REQ"
"10513","408.966301","10.10.5.102","10.10.5.1","KRB5","243","huyna5","AS-REQ"
"10522","408.973067","10.10.5.102","10.10.5.1","KRB5","245","tungnt751","AS-REQ"
"10531","408.978659","10.10.5.102","10.10.5.1","KRB5","242","haht31","AS-REQ"
"10540","408.983579","10.10.5.102","10.10.5.1","KRB5","242","huycd1","AS-REQ"
"10541","408.984330","10.10.5.1","10.10.5.102","KRB5","1584","huycd1","AS-REP"
"10549","408.988573","10.10.5.102","10.10.5.1","KRB5","231","huycd1","AS-REQ"
"10550","408.989172","10.10.5.1","10.10.5.102","KRB5","1504","huycd1","AS-REP"
"10558","408.993187","10.10.5.102","10.10.5.1","KRB5","245","duonglv8","AS-REQ"
"10567","408.997118","10.10.5.102","10.10.5.1","KRB5","243","sondn11","AS-REQ"
"10576","409.001621","10.10.5.102","10.10.5.1","KRB5","244","tranpth","AS-REQ"
"10585","409.006835","10.10.5.102","10.10.5.1","KRB5","243","ducnt45","AS-REQ"
"10594","409.014196","10.10.5.102","10.10.5.1","KRB5","241","ainn","AS-REQ"
"10603","409.018461","10.10.5.102","10.10.5.1","KRB5","242","binhnq2","AS-REQ"
"10612","409.021842","10.10.5.102","10.10.5.1","KRB5","245","thaint10","AS-REQ"
"10621","409.027449","10.10.5.102","10.10.5.1","KRB5","313","thaint10","AS-REQ"
"10630","409.035486","10.10.5.102","10.10.5.1","KRB5","246","quangnh14","AS-REQ"
"10639","409.039213","10.10.5.102","10.10.5.1","KRB5","245","phuocnd1","AS-REQ"
"10648","409.042487","10.10.5.102","10.10.5.1","KRB5","244","manhnt1","AS-REQ"
"10657","409.046261","10.10.5.102","10.10.5.1","KRB5","244","namnp18","AS-REQ"
"10666","409.051999","10.10.5.102","10.10.5.1","KRB5","247","huyennt171","AS-REQ"
"10675","409.056767","10.10.5.102","10.10.5.1","KRB5","245","anhntn72","AS-REQ"
"10684","409.059528","10.10.5.102","10.10.5.1","KRB5","245","huongntl4","AS-REQ"
"10693","409.064065","10.10.5.102","10.10.5.1","KRB5","244","cungts2","AS-REQ"
"10702","409.069413","10.10.5.102","10.10.5.1","KRB5","243","haivm6","AS-REQ"
"10711","409.074635","10.10.5.102","10.10.5.1","KRB5","245","hungnp13","AS-REQ"
"10720","409.080032","10.10.5.102","10.10.5.1","KRB5","245","chiendd3","AS-REQ"
"10729","409.085056","10.10.5.102","10.10.5.1","KRB5","245","nhungqth","AS-REQ"
"10738","409.089309","10.10.5.102","10.10.5.1","KRB5","244","hoalt34","AS-REQ"
"10747","409.096846","10.10.5.102","10.10.5.1","KRB5","242","luubh","AS-REQ"
"10756","409.112831","10.10.5.102","10.10.5.1","KRB5","245","khanhnn25","AS-REQ"
"10765","409.123494","10.10.5.102","10.10.5.1","KRB5","245","anhtt203","AS-REQ"
"10774","409.132072","10.10.5.102","10.10.5.1","KRB5","314","anhtt203","AS-REQ"
"10783","409.139295","10.10.5.102","10.10.5.1","KRB5","246","uyentt111","AS-REQ"
"10792","409.143692","10.10.5.102","10.10.5.1","KRB5","243","vannt90","AS-REQ"
